0.8925,
2379.png,-1
1091.png,1
3611.png,1
722.png,1
1469.png,1
2659.png,1
2766.png,1
1170.png,1
1595.png,1
4503.png,1
945.png,1
3201.png,1
4964.png,-1
3091.png,1
1471.png,1
1191.png,1
3024.png,1
2744.png,1
3282.png,1
428.png,1
1622.png,1
1770.png,1
483.png,1
4438.png,1
4411.png,1
2792.png,1
587.png,1
3963.png,1
886.png,1
4343.png,1
1070.png,1
4017.png,1
2289.png,1
4348.png,1
4223.png,1
3340.png,1
4358.png,1
2936.png,1
1113.png,1
2140.png,1
278.png,1
4351.png,1
1726.png,1
3647.png,1
1428.png,1
621.png,1
4672.png,1
902.png,1
3668.png,1
563.png,1
32.png,-1
3141.png,1
995.png,1
987.png,-1
802.png,1
4551.png,1
4336.png,1
458.png,1
1801.png,1
1354.png,1
531.png,1
3907.png,1
4484.png,1
119.png,1
3405.png,1
4975.png,1
845.png,1
684.png,1
3514.png,1
4299.png,1
2832.png,1
3777.png,1
1823.png,1
994.png,1
2425.png,1
2625.png,1
4623.png,1
2222.png,-1
194.png,-1
330.png,1
4509.png,1
1675.png,1
3250.png,-1
3728.png,-1
2693.png,1
4749.png,1
1605.png,1
2022.png,-1
524.png,1
2805.png,1
1043.png,1
573.png,1
2182.png,1
2294.png,1
2464.png,1
3327.png,-1
2282.png,1
1259.png,1
2143.png,1
2988.png,1
1221.png,1
344.png,1
2337.png,1
1736.png,1
4194.png,1
2544.png,1
3557.png,1
806.png,1
1850.png,-1
630.png,1
2236.png,1
430.png,1
4350.png,1
988.png,-1
2402.png,1
450.png,1
1444.png,1
2480.png,1
3663.png,-1
3916.png,1
852.png,-1
325.png,1
1068.png,1
3011.png,1
4430.png,1
2872.png,1
2189.png,1
2890.png,1
411.png,-1
1510.png,-1
4266.png,-1
3003.png,1
4505.png,1
4488.png,1
173.png,1
3549.png,1
375.png,-1
1938.png,1
4490.png,1
4858.png,1
446.png,1
2226.png,1
626.png,1
1430.png,1
1481.png,1
2007.png,1
465.png,1
1132.png,1
179.png,-1
4673.png,1
2819.png,1
2985.png,1
385.png,1
2344.png,1
635.png,1
2771.png,1
8.png,1
999.png,1
716.png,-1
3768.png,1
338.png,1
678.png,-1
3484.png,1
4580.png,-1
1818.png,1
394.png,1
3540.png,1
249.png,1
3454.png,1
3710.png,1
3149.png,1
1669.png,1
3947.png,-1
3245.png,-1
3638.png,1
4275.png,1
533.png,1
516.png,1
2830.png,-1
2998.png,1
1023.png,1
3435.png,1
4251.png,1
1698.png,1
2741.png,1
4133.png,1
1017.png,1
3274.png,-1
279.png,1
1194.png,1
3679.png,1
156.png,1
2332.png,1
3069.png,1
57.png,1
48.png,1
4086.png,1
4107.png,1
3020.png,1
347.png,1
1438.png,1
2934.png,1
3719.png,1
329.png,-1
1712.png,1
2043.png,1
3745.png,1
115.png,1
1377.png,1
285.png,1
3662.png,1
3687.png,1
4337.png,1
2764.png,1
4465.png,1
4508.png,-1
665.png,1
568.png,-1
2788.png,-1
4848.png,1
1048.png,1
1225.png,-1
4947.png,-1
1315.png,1
991.png,1
636.png,1
3289.png,1
3945.png,-1
2489.png,1
17.png,1
1923.png,1
2232.png,1
3330.png,-1
872.png,1
100.png,1
3026.png,1
841.png,-1
